Thème,Difficulté question,Questions,A,B,C,D,Réponse
Cinéma & Films,Facile,"Quel réalisateur a créé la saga ""Toy Story"" (Pixar)?",Pete Docter,John Lasseter,Andrew Stanton,Brad Bird,B
Cinéma & Films,Facile,Dans quel film voit-on des créatures bleues sur la planète Pandora?,Avatar,Blade Runner 2049,Valerian,Alita: Battle Angel,B
Cinéma & Films,Facile,"Quel est le vrai nom de l'acteur qui joue Spider-Man dans ""Spider-Man: Homecoming""?",Tobey Maguire,Andrew Garfield,Tom Holland,Jake Gyllenhaal,C
Cinéma & Films,Facile,Quel film de 2014 met en scène un astronaute nommé Cooper?,Ad Astra,The Martian,Interstellar,Gravity,B
Cinéma & Films,Facile,"Qui a réalisé ""Pulp Fiction"" (1994)?",Quentin Tarantino,Martin Scorsese,David Fincher,Paul Thomas Anderson,D
Cinéma & Films,Facile,Quel film Disney raconte l'histoire de deux reines dont l'une a des pouvoirs de glace?,La Reine des Neiges,Rebelle,Vaiana,Raiponce,B
Cinéma & Films,Facile,"Dans ""Avengers: Endgame"", quel personnage utilise l'Infinity Gauntlet pour sauver l'univers?",Iron Man,Black Widow,Thor,Captain America,C
Cinéma & Films,Facile,"Quel réalisateur a créé la trilogie ""Matrix""?",Christopher Nolan,David Fincher,Denis Villeneuve,Les Wachowski,D
Cinéma & Films,Facile,Dans quel film voit-on le personnage Katniss Everdeen?,Divergente,La Reine des Neiges,Hunger Games,La 5e Vague,D
Cinéma & Films,Facile,Quel acteur joue James Bond dans les films récents (2006-2021)?,Daniel Craig,Pierce Brosnan,Sean Connery,Timothy Dalton,A
Cinéma & Films,Facile,Quel film de 2016 met en scène des superhéros qui s'entre-déchirent?,Captain America: Civil War,Justice League,Avengers: Age of Ultron,Batman v Superman,B
Cinéma & Films,Facile,"Dans ""The Shining"" (1980), quel acteur joue Jack Torrance?",Jack Nicholson,Marlon Brando,Harrison Ford,Tom Cruise,B
Cinéma & Films,Facile,"Quel réalisateur a créé ""Retour vers le Futur"" (1985)?",Robert Zemeckis,James Cameron,Steven Spielberg,John Carpenter,D
Cinéma & Films,Facile,Dans quel film voit-on le personnage Elsa avec des pouvoirs magiques?,Rebelle,La Reine des Neiges,Vaiana,Raiponce,A
Cinéma & Films,Facile,Quel film de 2009 raconte l'histoire d'un guerrier humain qui bascule dans un monde extraterrestre?,Transformers,District 9,Avatar,Battleship,D
Cinéma & Films,Facile,"Qui a réalisé ""Forrest Gump"" (1994)?",James Cameron,Steven Spielberg,Martin Scorsese,Robert Zemeckis,A
Cinéma & Films,Facile,Dans quel film voit-on des dinosaures ressuscités par la science?,Jurassic Park,King Kong,The Lost World,Godzilla,A
Cinéma & Films,Facile,"Quel acteur joue Legolas dans ""Le Seigneur des Anneaux""?",Ian McKellen,John Rhys-Davies,Orlando Bloom,Viggo Mortensen,C
Cinéma & Films,Facile,"En quelle année ""Avatar"" (2009) a-t-il été libéré au cinéma?",2010,2011,2008,2009,D
Cinéma & Films,Facile,"Quel réalisateur a créé ""Le Parrain"" (1972)?",Francis Ford Coppola,Brian De Palma,Sidney Lumet,Martin Scorsese,A
Cinéma & Films,Facile,Dans quel film voit-on un homme riche qui descend au fond de l'océan dans un sous-marin?,"20,000 Leagues Under the Sea",The Abyss,Titanic,Deep Blue Sea,C
Cinéma & Films,Facile,Quel personnage Disney est un lion roi?,Nala,Mufasa,Simba,Scar,A
Cinéma & Films,Facile,"Quel réalisateur a réalisé ""E.T. l'Extra-Terrestre"" (1982)?",Joe Dante,John Carpenter,George Lucas,Steven Spielberg,B
Cinéma & Films,Facile,Dans quel film voit-on un pirate des Caraïbes excentrique nommé Jack Sparrow?,Tous les films Pirates des Caraïbes,Pirates des Caraïbes: The Curse of the Black Pearl,Pirates des Caraïbes: At World's End,Pirates des Caraïbes: Dead Man's Chest,B
Cinéma & Films,Facile,"Quel réalisateur a créé la saga ""Indiana Jones""?",Steven Spielberg,George Lucas,John Carpenter,George Lucas et Steven Spielberg,B
Cinéma & Films,Facile,Dans quel film voit-on un petit garçon qui peut communiquer avec les esprits?,Poltergeist,The Sixth Sense,The Ring,Insidious,B
Cinéma & Films,Facile,"Quel acteur joue Batman dans ""Batman Begins"" (2005)?",Val Kilmer,Christian Bale,Ben Affleck,George Clooney,A
Cinéma & Films,Facile,"En quelle année ""Titanic"" (1997) est-il sorti?",1998,1996,1999,1997,A
Cinéma & Films,Facile,"Quel réalisateur a créé ""La Liste de Schindler"" (1993)?",Martin Scorsese,Steven Spielberg,Stanley Kubrick,Francis Ford Coppola,C
Cinéma & Films,Facile,Dans quel film voit-on des robots extraterrestres qui se transforment en véhicules?,Transformers,Pacific Rim,District 9,Battle: Los Angeles,D
Cinéma & Films,Facile,"Quel réalisateur a créé ""Blade Runner"" (1982)?",George Lucas,Ridley Scott,James Cameron,John Carpenter,D
Cinéma & Films,Facile,Dans quel film voit-on un homme riche en armure dorée qui vole dans le ciel?,Iron Man,Batman,Captain Marvel,Superman,B
Cinéma & Films,Facile,"Quel réalisateur a réalisé ""Gladiateur"" (2000)?",Ridley Scott,Martin Scorsese,Steven Spielberg,James Cameron,B
Cinéma & Films,Facile,Dans quel film voit-on un astronaute seul sur la planète Mars?,The Martian,Ad Astra,Gravity,Interstellar,A
Cinéma & Films,Facile,"Quel réalisateur a créé ""Inception"" (2010)?",Denis Villeneuve,Christopher Nolan,Ari Aster,David Fincher,C
Cinéma & Films,Facile,Dans quel film voit-on des ninjas guerriers dans un monde de samouraïs?,Ghost in the Shell,Kill Bill,Ninja Assassin,The Last Samurai,A
Cinéma & Films,Facile,"Quel réalisateur a créé ""The Avengers"" (2012)?",Anthony Russo & Joe Russo,Joss Whedon,Kenneth Branagh,Jon Favreau,C
Cinéma & Films,Facile,Dans quel film voit-on un magicien qui voyage dans le temps?,Doctor Strange,The Illusionist,The Prestige,Now You See Me,C
Cinéma & Films,Facile,"Quel réalisateur a créé ""2001: A Space Odyssey"" (1968)?",George Lucas,Steven Spielberg,John Carpenter,Stanley Kubrick,A
Cinéma & Films,Facile,Dans quel film voit-on un groupe de criminels qui organisent un braquage?,Heat,The Italian Job,Ocean's Eleven,Tous les films ci-dessus,A
Cinéma & Films,Facile,"Quel réalisateur a créé ""Psycho"" (1960)?",Brian De Palma,Stanley Kubrick,David Fincher,Alfred Hitchcock,C
Cinéma & Films,Facile,Dans quel film voit-on un homme qui doit sauver son fils qui a été enlevé?,Taken,The Equalizer,Tous les films ci-dessus,Man on Fire,B
Cinéma & Films,Facile,"Quel réalisateur a créé ""Jaws"" (1975)?",James Cameron,Steven Spielberg,George Lucas,John Carpenter,D
Cinéma & Films,Facile,Dans quel film voit-on un groupe de superhéros qui combattent une menace cosmique?,Avengers: Infinity War,Avengers: Endgame,Tous les films Avengers,Avengers,D
Cinéma & Films,Facile,"Quel réalisateur a créé ""Citizen Kane"" (1941)?",Frank Capra,Orson Welles,John Ford,Howard Hawks,D
Cinéma & Films,Facile,Dans quel film voit-on un cowboy dans l'Ouest sauvage?,3:10 to Yuma,Tous les films ci-dessus,True Grit,The Magnificent Seven,A
Cinéma & Films,Facile,"Quel réalisateur a créé ""The Social Network"" (2010)?",Christopher Nolan,Denis Villeneuve,Ari Aster,David Fincher,B
Cinéma & Films,Facile,Dans quel film voit-on un homme qui doit arrêter un serial killer?,Se7en,Silence of the Lambs,Zodiac,Tous les films ci-dessus,A
Cinéma & Films,Facile,"Quel réalisateur a créé ""Alien"" (1979)?",George Lucas,James Cameron,John Carpenter,Ridley Scott,B
Cinéma & Films,Facile,Dans quel film voit-on une reine de glace qui peut créer de la neige et de la glace avec sa magie?,Raiponce,Rebelle,Vaiana,La Reine des Neiges,C
Cinéma & Films,Facile,"Quel réalisateur a créé ""Apocalypse Now"" (1979)?",Stanley Kubrick,Martin Scorsese,Steven Spielberg,Francis Ford Coppola,C
Cinéma & Films,Facile,Dans quel film voit-on un détective qui doit résoudre un meurtre dans une grande ville?,L.A. Confidential,Tous les films ci-dessus,The Long Goodbye,Chinatown,D
Cinéma & Films,Facile,"Quel réalisateur a créé ""Taxi Driver"" (1976)?",Steven Spielberg,Martin Scorsese,John Carpenter,Francis Ford Coppola,B
Cinéma & Films,Facile,Dans quel film voit-on un groupe de braqueurs qui planifient un vol audacieux?,Ocean's Eleven,Tous les films ci-dessus,The Italian Job,Heat,B
Cinéma & Films,Facile,"Quel réalisateur a créé ""The Godfather"" (1972)?",Brian De Palma,Francis Ford Coppola,Steven Spielberg,Martin Scorsese,A
Cinéma & Films,Facile,Dans quel film voit-on un homme qui tombe amoureux d'une femme qu'il ne peut pas avoir?,The Notebook,Tous les films ci-dessus,Titanic,La La Land,D
Cinéma & Films,Facile,"Quel réalisateur a créé ""One Flew Over the Cuckoo's Nest"" (1975)?",Francis Ford Coppola,Stanley Kubrick,Martin Scorsese,Milos Forman,D
Cinéma & Films,Facile,Dans quel film voit-on un super-héros qui court très vite?,Superman,Quicksilver (Avengers),Speed,The Flash,A
Cinéma & Films,Facile,"Quel réalisateur a créé ""The Shining"" (1980)?",David Fincher,Ridley Scott,John Carpenter,Stanley Kubrick,B
Cinéma & Films,Facile,Dans quel film voit-on un homme qui doit combattre des créatures extraterrestres?,Predator,Aliens,Alien,Tous les films ci-dessus,D
Cinéma & Films,Facile,"Quel réalisateur a créé ""A Clockwork Orange"" (1971)?",Martin Scorsese,John Carpenter,Francis Ford Coppola,Stanley Kubrick,D
Cinéma & Films,Facile,Dans quel film voit-on un homme qui devient un loup-garou?,Tous les films ci-dessus,Underworld,The Howling,An American Werewolf in London,A
Cinéma & Films,Facile,"Quel réalisateur a créé ""The Exorcist"" (1973)?",Stanley Kubrick,John Carpenter,David Fincher,William Friedkin,D
Cinéma & Films,Facile,Dans quel film voit-on un homme qui doit arrêter une bombe sur un avion?,Die Hard,The Taking of Pelham 123,Speed,Tous les films ci-dessus,D
Cinéma & Films,Facile,"Quel réalisateur a créé ""Saving Private Ryan"" (1998)?",Steven Spielberg,Francis Ford Coppola,Martin Scorsese,Christopher Nolan,D
Cinéma & Films,Facile,Dans quel film voit-on un homme qui doit sauver sa femme sur un gratte-ciel?,The Towering Inferno,Tous les films ci-dessus,The Poseidon Adventure,Die Hard,C
Cinéma & Films,Facile,"Quel réalisateur a créé ""Full Metal Jacket"" (1987)?",Stanley Kubrick,Steven Spielberg,Martin Scorsese,Oliver Stone,D
Cinéma & Films,Facile,Dans quel film voit-on un homme qui doit vaincre un Terminator venu du futur?,Terminator 2: Judgment Day,Tous les films Terminator,The Terminator,Terminator 3: Rise of the Machines,A
Cinéma & Films,Facile,"Quel réalisateur a créé ""Platoon"" (1986)?",Martin Scorsese,Stanley Kubrick,Oliver Stone,Francis Ford Coppola,A
Cinéma & Films,Facile,Dans quel film voit-on un homme qui doit arrêter un terroriste dans un bâtiment?,Tous les films ci-dessus,Sudden Death,Die Hard,Under Siege,C
Cinéma & Films,Facile,"Quel réalisateur a créé ""Goodfellas"" (1990)?",Brian De Palma,Martin Scorsese,Steven Spielberg,Francis Ford Coppola,D
Cinéma & Films,Facile,Dans quel film voit-on un superhéros qui change de couleur selon ses émotions?,Hulk,Avengers,Tous les films Hulk,The Incredible Hulk,B
Cinéma & Films,Facile,"Quel réalisateur a créé ""Raging Bull"" (1980)?",Steven Spielberg,Martin Scorsese,Stanley Kubrick,Francis Ford Coppola,C
Cinéma & Films,Facile,Dans quel film voit-on un enfant qui doit combattre des créatures souterraines?,The Dark Crystal,Tous les films ci-dessus,Legend,Labyrinth,D
Cinéma & Films,Intermédiaire,Quel film de 2019 réunit tous les Avengers pour combattre Thanos?,Avengers: Age of Ultron,Avengers: Infinity War,Avengers: Endgame,Captain America: Civil War,D
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Dunkirk"" (2017)?",Denis Villeneuve,Martin Scorsese,Christopher Nolan,Steven Spielberg,D
Cinéma & Films,Intermédiaire,Dans quel film de 2014 voit-on un gardien de la galaxie nommé Peter Quill?,Guardians of the Galaxy Vol. 1,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 3,Avengers,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Drive"" (2011)?",David Fincher,Christopher Nolan,Nicolas Winding Refn,Denis Villeneuve,C
Cinéma & Films,Intermédiaire,Dans quel film de 2015 voit-on un homme qui devient Ant-Man?,Ant-Man,Ant-Man and the Wasp,Avengers: Age of Ultron,Captain America: Civil War,A
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Parasite"" (2019)?",Kim Jee-woon,Park Chan-wook,Bong Joon-ho,Lee Chang-dong,C
Cinéma & Films,Intermédiaire,Dans quel film de 2016 voit-on Doctor Strange apprendre la magie?,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Doctor Strange,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Whiplash"" (2014)?",Denis Villeneuve,Christopher Nolan,Damien Chazelle,David Fincher,D
Cinéma & Films,Intermédiaire,Dans quel film de 2016 voit-on Batman affronter Superman?,Batman Begins,Batman v Superman: Dawn of Justice,The Dark Knight Rises,The Dark Knight,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Mad Max: Fury Road"" (2015)?",Denis Villeneuve,Ridley Scott,George Miller,Christopher Nolan,D
Cinéma & Films,Intermédiaire,Dans quel film de 2017 voit-on Thor affronter Thanos?,Thor: The Dark World,Thor: Ragnarok,Avengers: Infinity War,Avengers: Endgame,B
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""The Lighthouse"" (2019)?",David Fincher,Robert Eggers,A24 director,Ari Aster,C
Cinéma & Films,Intermédiaire,Dans quel film de 2017 voit-on Black Panther défendre son royaume?,Black Panther,Captain America: Civil War,Avengers: Infinity War,Avengers: Endgame,A
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""A Quiet Place"" (2018)?",Denis Villeneuve,John Krasinski,Ari Aster,Christopher Nolan,D
Cinéma & Films,Intermédiaire,Dans quel film de 2015 voit-on Captain America affronter Iron Man?,Captain America: Civil War,The First Avenger,Avengers: Age of Ultron,The Winter Soldier,D
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Get Out"" (2017)?",Robert Eggers,David Fincher,Jordan Peele,Ari Aster,B
Cinéma & Films,Intermédiaire,Dans quel film de 2018 voit-on un groupe de criminels qui organisent un casse?,Heat,Ocean's Eleven,Ocean's 8,The Italian Job,A
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Hereditary"" (2018)?",David Fincher,Robert Eggers,Ari Aster,Jordan Peele,B
Cinéma & Films,Intermédiaire,Dans quel film de 2019 voit-on le Joker devenir un criminel notoire?,The Dark Knight,The Dark Knight Rises,Batman Begins,Joker,B
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Midsommar"" (2019)?",Robert Eggers,Ari Aster,David Fincher,Jordan Peele,C
Cinéma & Films,Intermédiaire,Dans quel film de 2019 voit-on Spider-Man voyager à travers le multivers?,The Amazing Spider-Man,Spider-Man: Far From Home,Spider-Man: Homecoming,Spider-Man: Into the Spider-Verse,D
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Dune"" (2021)?",Ridley Scott,Denis Villeneuve,Christopher Nolan,Steven Spielberg,B
Cinéma & Films,Intermédiaire,"Dans quel film de 2020 voit-on Tenet, un concept temporel utilisé pour combattre?",Inception,Interstellar,Tenet,The Prestige,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""The Batman"" (2022)?",Zack Snyder,Matt Reeves,Ben Affleck,Christopher Nolan,A
Cinéma & Films,Intermédiaire,Dans quel film de 2021 voit-on Spider-Man voyager à travers le multivers avec ses prédécesseurs?,Spider-Man: No Way Home,Spider-Man: Homecoming,Spider-Man: Far From Home,The Amazing Spider-Man,A
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Everything Everywhere All at Once"" (2022)?",Daniel Kwan & Daniel Scheinert,David Fincher,Christopher Nolan,Denis Villeneuve,C
Cinéma & Films,Intermédiaire,Dans quel film de 2022 voit-on Doctor Strange explorer le multivers?,Doctor Strange,Loki (série),Avengers: Infinity War,Doctor Strange in the Multiverse of Madness,D
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Oppenheimer"" (2023)?",Steven Spielberg,Denis Villeneuve,David Fincher,Christopher Nolan,C
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on Barbie explorer le monde réel?,Barbie,The Mattel Movie,Inception,Toy Story,A
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Killers of the Flower Moon"" (2023)?",Denis Villeneuve,Christopher Nolan,Steven Spielberg,Martin Scorsese,A
Cinéma & Films,Intermédiaire,Quel film de 2018 met en scène des créatures qui attaquent si on les entend?,The Silence,A Place of Silence,Birdbox,A Quiet Place,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Uncut Gems"" (2019)?",Benny Safdie & Joshua Safdie,Christopher Nolan,David Fincher,Denis Villeneuve,D
Cinéma & Films,Intermédiaire,Dans quel film de 2019 voit-on un homme qui enregistre un crime en temps réel?,Tous les films ci-dessus,Uncut Gems,Good Time,The Safdie Brothers filmography,A
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Good Time"" (2017)?",Christopher Nolan,Benny Safdie & Joshua Safdie,Denis Villeneuve,David Fincher,A
Cinéma & Films,Intermédiaire,Dans quel film de 2016 voit-on un homme échapper à un attentat à la bombe?,Deadpool,Doctor Strange,Captain America: Civil War,Rogue One,A
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""The Farewell"" (2019)?",Lee Chang-dong,Park Chan-wook,Bong Joon-ho,Lulu Wang,C
Cinéma & Films,Intermédiaire,Dans quel film de 2019 voit-on une famille chinoise confrontée à un secret familial?,Everything Everywhere All at Once,Crazy Rich Asians,The Farewell,The Sense of an Ending,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Moonlight"" (2016)?",Ava DuVernay,Barry Jenkins,Ryan Coogler,Boots Riley,D
Cinéma & Films,Intermédiaire,Dans quel film de 2016 voit-on l'histoire d'un jeune homme qui découvre son identité?,Moonrise Kingdom,The Florida Project,The Lighthouse,Moonlight,D
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""The Florida Project"" (2017)?",Sean Baker,Barry Jenkins,Ava DuVernay,Boots Riley,B
Cinéma & Films,Intermédiaire,Dans quel film de 2017 voit-on une famille vivant dans un motel en Floride?,Mid90s,The Florida Project,Nomadland,Wendy,D
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Nomadland"" (2020)?",Chloé Zhao,Sean Baker,Boots Riley,Barry Jenkins,C
Cinéma & Films,Intermédiaire,Dans quel film de 2020 voit-on une femme qui voyage à travers l'Amérique en camping-car?,Captain Fantastic,The Florida Project,On the Road,Nomadland,D
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Eternals"" (2021)?",Chloe Zhao,Ryan Coogler,Jon Favreau,Chloé Zhao,D
Cinéma & Films,Intermédiaire,Dans quel film de 2021 voit-on un groupe de superhéros immortels?,Guardians of the Galaxy,Eternals,The Avengers,X-Men,B
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Shang-Chi and the Legend of the Ten Rings"" (2021)?",Jon Favreau,Destin Daniel Cretton,Ryan Coogler,James Gunn,D
Cinéma & Films,Intermédiaire,Dans quel film de 2021 voit-on un combattant martial qui maîtrise les Dix Anneaux?,Black Widow,Iron Fist,Doctor Strange,Shang-Chi and the Legend of the Ten Rings,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Black Widow"" (2021)?",James Gunn,Jon Favreau,Cate Shortland,Ryan Coogler,A
Cinéma & Films,Intermédiaire,Dans quel film de 2021 voit-on une espionne qui doit affronter son passé?,Black Widow,Tous les films ci-dessus,Atomic Blonde,Red Sparrow,A
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Loki"" (série) (2021)?",Kate Herron,Jon Favreau,Ryan Coogler,Tom Hiddleston (acteur),D
Cinéma & Films,Intermédiaire,Dans quel film de 2021 voit-on le dieu du Mensonge Loki voyager dans le temps?,Thor: Ragnarok,The Avengers,Loki,Avengers: Endgame,B
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""WandaVision"" (série) (2021)?",Jon Favreau,Matt Shakman,Ryan Coogler,James Gunn,C
Cinéma & Films,Intermédiaire,Dans quel film de 2021 voit-on Wanda et Vision dans un monde de sitcoms?,Scarlet Witch: Origins,WandaVision,Doctor Strange: Multiverse of Madness,The Avengers,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""The Falcon and the Winter Soldier"" (série) (2021)?",Kari Skogland,Ryan Coogler,Jon Favreau,James Gunn,C
Cinéma & Films,Intermédiaire,Dans quel film de 2021 voit-on Falcon et Winter Soldier affronter une menace?,The Winter Soldier,Avengers: Endgame,Captain America: Civil War,The Falcon and the Winter Soldier,A
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Hawkeye"" (série) (2021)?",Ryan Coogler,James Gunn,Jon Favreau,Rhys Thomas & Bert and Bertie,C
Cinéma & Films,Intermédiaire,Dans quel film de 2021 voit-on Hawkeye mentorer une jeune recrues?,Black Widow,Captain America: The Winter Soldier,Hawkeye,The Avengers,B
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Moon Knight"" (série) (2022)?",Ryan Coogler,Jon Favreau,Mohamed Diab & Justin Benson & Aaron Moorhead,James Gunn,D
Cinéma & Films,Intermédiaire,Dans quel film de 2022 voit-on un homme avec un trouble dissociatif de l'identité?,Multiverse of Madness,The Sixth Sense,Moon Knight,Split,D
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""She-Hulk: Attorney at Law"" (série) (2022)?",Ryan Coogler,James Gunn,Kat Coiro,Jon Favreau,D
Cinéma & Films,Intermédiaire,Dans quel film de 2022 voit-on Jennifer Walters transformer en She-Hulk?,She-Hulk: Attorney at Law,Avengers,The Incredible Hulk,Thor: Ragnarok,B
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Ms. Marvel"" (série) (2022)?",Ryan Coogler,Jon Favreau,Meera Menon,James Gunn,B
Cinéma & Films,Intermédiaire,Dans quel film de 2022 voit-on Kamala Khan découvrir ses pouvoirs?,Ms. Marvel,Doctor Strange,Captain Marvel,Avengers,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Thor: Love and Thunder"" (2022)?",Taika Waititi,Ryan Coogler,Jon Favreau,James Gunn,D
Cinéma & Films,Intermédiaire,Dans quel film de 2022 voit-on Thor affronter un nouvel ennemi?,The Dark World,Thor: Love and Thunder,Thor: Ragnarok,Avengers: Infinity War,B
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Ant-Man and the Wasp: Quantumania"" (2023)?",James Gunn,Ryan Coogler,Peyton Reed,Jon Watts,D
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on Ant-Man affronter une menace quantique?,Avengers: Endgame,Captain America: Civil War,Ant-Man and the Wasp: Quantumania,Ant-Man,D
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Guardians of the Galaxy Vol. 3"" (2023)?",James Gunn,Ryan Coogler,Jon Favreau,Taika Waititi,A
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on les Gardiens affronter Thanos?,Vol. 2,Guardians of the Galaxy Vol. 3,Vol. 1,Avengers: Infinity War,D
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""The Marvels"" (2023)?",Jon Favreau,Ryan Coogler,Nia DaCosta,James Gunn,D
Cinéma & Films,Intermédiaire,"Dans quel film de 2023 voit-on Captain Marvel, Monica Rambeau et Kamala Khan?",The Marvels,Captain Marvel,Ms. Marvel,WandaVision,D
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on l'histoire d'une famille amérindienne exploitée pour l'or?,Westworld,Yellowstone,Dances with Wolves,Killers of the Flower Moon,C
